"","Transect","PastureID","Fire","Graze","PUTR2","none","AF","PG","PF","ARTR4","TECA2","AG","CHVI","CHVI8","SD","M","ShrubTotal","TotalCover","PercentShrubCover","PercentAFCover","PercentPFCover","PercentPGCover","PercentAGCover","PercentARTR4Cover","PercentShrubCover + PercentPFCover + PercentPGCover + PercentAGCover"
"17",2,"EX-2B","Burn","NoGraze",0,6,2,4,4,2,1,4,0,2,0,0,5,19,26.3157894736842,10.5263157894737,21.0526315789474,21.0526315789474,21.0526315789474,10.5263157894737,89.4736842105263
"18",3,"EX-2B","Burn","NoGraze",2,3,4,4,2,4,5,0,0,1,0,0,12,22,54.5454545454545,18.1818181818182,9.09090909090909,18.1818181818182,0,18.1818181818182,81.8181818181818
"19",3,"EX-1B","Burn","NoGraze",0,1,2,8,3,1,0,7,0,1,2,0,2,22,9.09090909090909,9.09090909090909,13.6363636363636,36.3636363636364,31.8181818181818,4.54545454545455,90.9090909090909
"20",5,"EX-1B","Burn","NoGraze",0,3,0,10,5,0,0,4,0,0,3,0,0,19,0,0,26.3157894736842,52.6315789473684,21.0526315789474,0,100
"21",1,"2A","NoBurn","Spring",3,6,0,1,2,7,0,6,0,0,0,0,10,19,52.6315789473684,0,10.5263157894737,5.26315789473684,31.578947368421,36.8421052631579,100
"22",2,"2A","NoBurn","Spring",2,5,5,3,0,9,0,1,0,0,0,0,11,20,55,25,0,15,5,45,75
"23",3,"2A","NoBurn","Spring",0,10,2,1,1,5,0,2,0,0,0,4,5,11,45.4545454545455,18.1818181818182,9.09090909090909,9.09090909090909,18.1818181818182,45.4545454545455,81.8181818181818
"24",4,"2A","NoBurn","Spring",0,7,6,1,1,5,0,4,0,1,0,0,6,18,33.3333333333333,33.3333333333333,5.55555555555556,5.55555555555556,22.2222222222222,27.7777777777778,66.6666666666667
"25",5,"2A","NoBurn","Spring",1,11,0,2,2,6,0,3,0,0,0,0,7,14,50,0,14.2857142857143,14.2857142857143,21.4285714285714,42.8571428571429,100
"26",1,"EX1A2A","NoBurn","NoGraze",0,5,0,3,4,9,0,2,0,2,0,0,11,20,55,0,20,15,10,45,100
"27",2,"EX1A2A","NoBurn","NoGraze",1,6,2,7,5,2,0,2,0,0,0,0,3,19,15.7894736842105,10.5263157894737,26.3157894736842,36.8421052631579,10.5263157894737,10.5263157894737,89.4736842105263
"28",3,"EX1A2A","NoBurn","NoGraze",0,6,0,3,6,7,1,1,0,1,0,0,9,19,47.3684210526316,0,31.578947368421,15.7894736842105,5.26315789473684,36.8421052631579,100
"29",4,"EX1A2A","NoBurn","NoGraze",3,10,1,2,3,5,0,1,0,0,0,0,8,15,53.3333333333333,6.66666666666667,20,13.3333333333333,6.66666666666667,33.3333333333333,93.3333333333333
"30",5,"EX1A2A","NoBurn","NoGraze",5,5,1,3,2,7,0,2,0,0,0,0,12,20,60,5,10,15,10,35,95
